n_clusters, n_init, max_iter, tol, average_precision, kappa_score, weighted_precision, weighted_recall, weighted_f1_score, matthews_correlation_coefficient
15.0,10.0,300.0,0.0001,34.06670533155139,0.2934769276083737,0.2802629062727704,0.34066705331551383,0.2948559360090703,0.2997736322251254
10.0,10.0,300.0,0.0001,28.2152793537921,0.2309675101788013,0.16945550060435666,0.282152793537921,0.20382614688678805,0.2390893838910858
20.0,10.0,300.0,0.0001,38.31563994586916,0.3391480648999867,0.3620767714070734,0.3831563994586916,0.35657772556012673,0.3437059110264867
23.0,10.0,300.0,0.0001,39.79877449126258,0.3550013357885017,0.3902829112333056,0.3979877449126257,0.3773913038053722,0.3583553728945906
17.0,10.0,300.0,0.0001,35.99826848559733,0.3143265348022687,0.3186995272496002,0.3599826848559733,0.32717341249886656,0.3187415604165982
20.0,50.0,300.0,0.0001,38.300089937884024,0.3390025456211761,0.3578041883944103,0.3830008993788402,0.3546909249329732,0.3436607931341665
20.0,10.0,30.0,0.0001,38.47240083717881,0.34074508463961617,0.3687141520375033,0.3847240083717881,0.3601125912109258,0.34539123605021405
20.0,10.0,1000.0,0.0001,38.163922300392535,0.33750462982983803,0.3608229132102589,0.3816392230039254,0.3570260709918539,0.3413884992498668
20.0,10.0,300.0,0.001,38.09079523581377,0.33678175917303005,0.3572013764652741,0.3809079523581376,0.3532861682083113,0.3413358488523067
20.0,10.0,300.0,0.01,38.34884131426987,0.3395286024937033,0.3697358172746064,0.38348841314269866,0.3621991682399509,0.3430812240286508
20.0,10.0,300.0,1e-06,38.370275109060195,0.33972808158349715,0.37209626393461,0.3837027510906019,0.36281985687846446,0.3435542222989317
